,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
20,,"Mando O","2023-01-03 21:49:44",0,no,no,"After secret wars is the mutants saga so no more avengers",UCPXKptNAysJS0lVJcjqF45w,UgzsZC-mXaBUr3tT3ox4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzsZC-mXaBUr3tT3ox4AaABAg
21,,"Sean Kanoog","2023-01-03 21:54:34",0,no,no,"Tom Cruise was initially offered the role of Tony Stark, if Marvel will allow him to risk his life to do his own wild stunts as usual it could workout.",UCiLubK_OWKdfpB5HrN90g2Q,UgxhodWbTf6joteEw3B4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxhodWbTf6joteEw3B4AaABAg
22,,"Ryan Haney","2023-01-03 21:57:07",0,no,no,"Does this mean Daniel IS the werewolf?",UCewpxrHKTgXgQ7YbvRWSfZw,Ugw4tTXgikI1e_NR-454AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugw4tTXgikI1e_NR-454AaABAg
23,,LevinBacon,"2023-01-03 22:09:07",0,no,no,"What about Hawkeye",UCZNsADZ-dexHlCPSNICCjiQ,Ugwrzo5kg5Ql1bRqdB54AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugwrzo5kg5Ql1bRqdB54AaABAg
24,,"Rose H","2023-01-03 22:12:49",0,no,no,"I hope they don't pick and choose different characters from multiverses since that would feel like all the past decade and more of plot are for nothing but it could be a soft reboot in some way like properly bringing xmen and other characters that haven't been in the MCU before",UC0hOsropbqvwvYiK-QwtZBA,UgzPmzY41VvitIjcFVB4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzPmzY41VvitIjcFVB4AaABAg
25,,"Kaybee Major","2023-01-03 22:17:07",0,no,no,"Marvel is dead. Disney is just flogging the horse they decapitated with wokeness.",UC-HwYvbiRuMT-R3U2IPn9YA,Ugz6Y_KyaIxYcKvVs9B4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugz6Y_KyaIxYcKvVs9B4AaABAg
26,,Person17,"2023-01-03 22:21:11",0,no,no,"6:53 As what VFX are being overworked to do to them.",UCfUBDidj02S3-cCpBTV8NcA,UgyTvgZrotkm_taCnN14AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyTvgZrotkm_taCnN14AaABAg
27,,"Sapphire Witch","2023-01-03 22:26:58",0,no,no,"Funny how ScreenCrush always gives and shot out to NR but NR never does.",UC8AL-7fytV7hS9UavLg8tLA,UgzdmlBKP79l0UnhKsx4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzdmlBKP79l0UnhKsx4AaABAg
28,,"Brochacho Borracho","2023-01-03 22:29:16",0,no,no,"One thing I noticed from this video is. MCU is full of mid to low tier characters. Hulk, Strange, Spiderman and Thor are prob the only Top tier they got. Until the X-Men and F4 are introduced.",UCr5WtxXl1S7mLFyZKhoH00Q,UgwXcLS2QOWENynR4854AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwXcLS2QOWENynR4854AaABAg
29,,"Jared Lucas","2023-01-03 22:29:20",0,no,no,"I hope captain America comes back",UC35stjSTjsb1CrcQhV0mZLQ,UgzUa1re3z3WmMG4KVt4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzUa1re3z3WmMG4KVt4AaABAg
