,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
20,,BlazeNAmber,"2023-01-04 10:15:45",0,no,no,"RIP Ken, you will be missed.",UCvx7h-WJjLmRfbYYeIuwnbg,UgyMEVWywltS5pEiAhh4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyMEVWywltS5pEiAhh4AaABAg
21,,"EU e ELA ♥","2023-01-04 10:16:24",0,no,no,Rip,UCKqlWZKgr3bufkyaQivjAcg,UgyxBQwH4ra5WZscS4x4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyxBQwH4ra5WZscS4x4AaABAg
22,,FkUkraine,"2023-01-04 10:19:22",0,no,no,"Rallycar has had terribly bad luck with legends like Colin McCrae and now Ken Blocks tragic passing. And neither died in the very sport that is so dangerous.",UCA-Nrw32RQsMTk9KWMWR2kA,Ugz0PA1l4bZ-RdoUuGt4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugz0PA1l4bZ-RdoUuGt4AaABAg
23,,"Red Oz","2023-01-04 10:19:58",0,no,no,"Why was the snowmobile a complete wreck if it just flipped on top of him?",UC5WRaFLuRlyrUgeP36B7lHQ,UgwOQfK2gn3aq8ocu4t4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwOQfK2gn3aq8ocu4t4AaABAg
24,,"Igor Rewa","2023-01-04 10:20:01",0,no,no,"Sayonara Mentor, you always my #1. F 43 Green Monster Legend",UC_ibfHzlYtlejeFHgKCLnYA,UgymWmu7uSWivhWgAeJ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgymWmu7uSWivhWgAeJ4AaABAg
25,,"D'Lo CoCo","2023-01-04 10:28:01",0,no,no,"Really Too Sad,
Why him ?
Why now ?
😭",UC1e7jZK8w4FAWrl0IPKL1FA,UgxS16fQgWDNBgAb3iZ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxS16fQgWDNBgAb3iZ4AaABAg
26,,1mikewalsh,"2023-01-04 10:30:18",0,no,no,"Whoa, hero down.",UCibHGX26Sj-xpYlPCIkPnYg,UgyVZHTuCMHSPjdnPFJ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyVZHTuCMHSPjdnPFJ4AaABAg
27,,"Rock The Nation racing","2023-01-04 10:30:41",0,no,no,"RIP Ken 🙏   it broke my heart ❤️ I will show my grandkids ur videos to show the new generation what a epic person and racer u were praying 🙏 for the family and friends 😪",UC87BYUwZh3qOkt4WHXmEISw,UgwhZs9XzGHV9Ey9Ind4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwhZs9XzGHV9Ey9Ind4AaABAg
28,,"Es Kah","2023-01-04 10:37:17",1,no,no,"""Go fast, risk everything"" This guy was dedicated",UCqJCROSq4ZSy5GnPkvr35OQ,UgzE0U-AVROLjZ_GwgF4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzE0U-AVROLjZ_GwgF4AaABAg
29,,Rick,"2023-01-04 10:39:00",0,no,no,"Respect bro rest in peace",UCYbxMwAN5J0VHPaCVUisNwg,UgzxHTxrtgAeV_K8oIR4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzxHTxrtgAeV_K8oIR4AaABAg
30,,羅生Channel,"2023-01-04 10:39:30",0,no,no,RIP,UCvT0ooZztj4PCKNIaQLC1LQ,Ugy1htAJ_EOJlryedyt4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugy1htAJ_EOJlryedyt4AaABAg
31,,"William Palm","2023-01-04 10:40:00",0,no,no,Rip❤️,UCoVy6jrRkM3r_rvaZ9fg6jw,Ugyj5vgd3ltI0niPfyp4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugyj5vgd3ltI0niPfyp4AaABAg
32,,shocka007,"2023-01-04 10:49:00",0,no,no,"🤣 I know how to read & listen 😉 and do symbolic math !  55 ""My fellow Americans ...  God Bless you Ken, Trolling the MSM Fake news is Fun 🤣
 ‘sketchy snow’   is a killer man",UCXU73Fky-6Dv87-1sIfUKbg,UgxuK2Zagqetd0uSZG14AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxuK2Zagqetd0uSZG14AaABAg
33,,"MindOn AMill","2023-01-04 10:49:23",1,no,no,"1st Paul Walker Now Ken Block 😢. 
Wtf 
The Car World Isn’t Gonna Be The Same SMFH",UCiEkOfi7yfKK6Y2Xnbiw0sw,UgzejhuniWEzz20Oynl4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzejhuniWEzz20Oynl4AaABAg
34,,kelijo1982,"2023-01-04 10:59:13",0,no,no,"My son, 16, is a huge fan of his. He is literally devastated to hear this. 😢",UCWyucIh6C_JdWj4hhREZAyA,Ugwd48VN7NI7qWueepV4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugwd48VN7NI7qWueepV4AaABAg
35,,"Pete Dog","2023-01-04 11:01:59",0,no,no,"Wow. Tragic. I really liked him. He was his own man for sure.",UC_oDWcZwBlS3-9WzhgImOtg,UgyO73_aAUV666-ZtrJ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyO73_aAUV666-ZtrJ4AaABAg
36,,"Uncle Bishoppe's Kitchen","2023-01-04 11:02:15",0,no,no,"Rest in peace buddy. I'm not sad. He died doing what he loved. God damned legend.",UCW08dVFzAMRA0o3HTt_6tlQ,Ugy9Z0DMWVTtpcfgxft4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugy9Z0DMWVTtpcfgxft4AaABAg
37,,DB,"2023-01-04 11:03:09",0,no,no,"Just heard, The king of extreme,you are loved and will be missed!! RIP KEN",UCibeFoSp7NIHyW3dB5Um4zg,UgxWJrWOnqn_bsIODAN4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxWJrWOnqn_bsIODAN4AaABAg
38,,"Ashen Madhusanka","2023-01-04 11:03:42",0,no,no,😓,UCbm288x4ImMFkyG-k30q35A,UgyxDwGzndC-Mil0zuJ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyxDwGzndC-Mil0zuJ4AaABAg
39,,"Mr Matt","2023-01-04 11:04:02",0,no,no,"Prayers sent to his family.",UCTpjYqTXOjn0DI--GXxMjBA,UgwjrKhYQCtV9-mDeqN4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwjrKhYQCtV9-mDeqN4AaABAg
40,,"Mr Theo","2023-01-04 11:07:51",0,no,no,Rip,UCToQkmVcdWNnwMIFU4EmI1Q,UgwLYKtD-wgQEa4uc6t4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwLYKtD-wgQEa4uc6t4AaABAg
41,,"Rome Ah","2023-01-04 11:10:23",0,no,no,"Totally devastated. I've been following him for over a decade. He influenced millions around the world.

Rest in Power, Legend.",UCw0feGKGiWpn-Q5h0QOasZQ,Ugy9t0A70ldT5Aamr7J4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugy9t0A70ldT5Aamr7J4AaABAg
42,,"Based Richard Maudsley","2023-01-04 11:12:20",0,no,no,"Rest in peace Champ...Prayers for his family🙏",UCQa086FJx9Z9jHGkuXVXYHg,UgzbcC5geutMX86um5l4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzbcC5geutMX86um5l4AaABAg
43,,"BeamNG drive show","2023-01-04 11:15:28",1,no,no,"I am shocked and horrified😭😢😨 there are simply no words... Everything he did became a masterpiece!  I hold DC number 43 sneakers in my hands and cry😭 rest in peace man-machine😭",UCZvY_DadlQWe5OIFiW2B9zg,UgyykoOfQbMILnqMHht4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyykoOfQbMILnqMHht4AaABAg
44,,"Miami Milani","2023-01-04 11:18:42",0,no,no,"May he rest in peace the 1 and only miami",UCAzXhGlaQOaGj0g8pUWLo7A,UgxK-gc7WOPtMx62fXB4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxK-gc7WOPtMx62fXB4AaABAg
45,,"Desmond Yap","2023-01-04 11:21:06",0,no,no,"Im in disbelief until now. He has been a part of my childhood watching his gymkhana series",UCInwfkdLosWcz90nBRPylBg,UgztUWdkhgNMkVEYz8h4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgztUWdkhgNMkVEYz8h4AaABAg
46,,SimMadPaul,"2023-01-04 11:22:09",0,no,no,"RIP Ken. Thoughts and prays to your family. Love seing your driving..",UCnjVh5PfOhnExHu883Q8MIw,UgxwL-5e0u6WA6N5smB4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxwL-5e0u6WA6N5smB4AaABAg
47,,BLANDOS,"2023-01-04 11:24:59",0,no,no,"Your the GOAT man.  No One will throw a fiesta about like you mate.",UCLWHtQnYpA2IKY0AQpLtcAA,UgzRm1joN9aTrazzfhN4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzRm1joN9aTrazzfhN4AaABAg
48,,"Lahiru Dissanayake","2023-01-04 11:26:03",0,no,no,"Legend rip🖤🏳️",UC6YBsga_GLmvrbLABgfR6uw,UgzAzl6h8Rt0i7hm8QB4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzAzl6h8Rt0i7hm8QB4AaABAg
49,,gmy33,"2023-01-04 11:29:01",0,no,no,"Rest in peace man !!!! ..",UCtoOW5u_EPr86W3SlidIITQ,UgxnVaLSjm7zMAqTZR94AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxnVaLSjm7zMAqTZR94AaABAg
50,,"John W","2023-01-04 11:30:32",0,no,no,R.I.P.,UCBskpY2NBVJ3oKIgRR84myQ,UgwxbtGudyUMdXIwmeF4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwxbtGudyUMdXIwmeF4AaABAg
51,,BadCow,"2023-01-04 11:39:13",0,no,no,"So sad and tragic. I have watched Ken for many years, never met him, but felt connected. My heart goes out to his family and close friends.",UC0ekqFsG58TvMdyEQFAndKQ,UgzwQirETKEzGvWY44x4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzwQirETKEzGvWY44x4AaABAg
52,,"tom thecat","2023-01-04 11:40:30",0,no,no,"Rest in peace my legend 😞🌹",UCp5KONjfTV7fR0gl1RQ17Qw,UgyLHmkd2aLl2VBQYJZ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyLHmkd2aLl2VBQYJZ4AaABAg
53,,"RGB GAMING","2023-01-04 11:43:13",0,no,no,"I can't believe this.. I really can't.",UCN-4yWiPsIgA9LbR1zDruQA,UgyU2wrKc13RuBND4MR4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyU2wrKc13RuBND4MR4AaABAg
54,,M,"2023-01-04 11:48:19",0,no,no,"Forever a Hoonigan. Meeting you at SEMA was a dream come true and I will forever appreciate what you’ve done for motorsports. You’re one of “those guys” for me. 😭",UCNYuEsDDQFH-MpKCeLLwrfA,UgyXGUzVjylbatNdAmp4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyXGUzVjylbatNdAmp4AaABAg
55,,"DJ MegaHurtz","2023-01-04 11:55:46",0,no,no,"He’s 1 of 1 an absolute Legend 🙏",UCqFIFLyfrwMmMnPvldmuVwA,UgxIIqcgWqSaAqKdzcF4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxIIqcgWqSaAqKdzcF4AaABAg
56,,"michael touch","2023-01-04 11:57:19",0,no,no,"Rest In Peace OG",UC_cOq6jO7qQO_fhwg64Lw9Q,UgzQpBUoZK724fhnc0x4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzQpBUoZK724fhnc0x4AaABAg
57,,"White Trash And Hellbound","2023-01-04 12:05:26",0,no,no,"Sad he died. At least he went out at Full Send on a Snow Machine, doing what he loves 🤟. RIP to a Legend 🙏",UCM8yqcThTyeqZsI1QkbVcEQ,Ugz-0Vu02AbFgz8Kskd4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugz-0Vu02AbFgz8Kskd4AaABAg
58,,"No one","2023-01-04 12:06:47",0,no,no,"Rest In Peace Ken you will not be forgotten. Time to race the gods .",UCH_gcP0waQQ14dfeVzyEMsw,UgxOv8YXZGvTOoeHbTR4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxOv8YXZGvTOoeHbTR4AaABAg
59,,"Derrick Franklin","2023-01-04 12:12:17",0,no,no,"Ken was a wonderful person and an inspiration to alot of us. This is a great loss to humanity. Thoughts and prayers to his family and loved ones.",UChdZYqBOytxtEUfX_Tv9RvQ,UgwN-XDLliZkvzAnv7x4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwN-XDLliZkvzAnv7x4AaABAg
60,,"Tim datoolman","2023-01-04 12:16:44",0,no,no,"You will be missed Sir.",UCQ5X7bJDRfUTAsmJ3scu7-A,UgxgtBgB6sszBxmDDC94AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxgtBgB6sszBxmDDC94AaABAg
61,,"Krešimir Pavić","2023-01-04 12:23:08",0,no,no,"Love you Ken BLOCK. 😥😖😭😥😭😥😖😥😖🤧😖😥😖😥😖🤧😖🤧🤧😖😭😭😭😭😭😭🤧😭😭🤧😖🤧🤧😖🤧😥😖😥😓😓😥😥😓😓😥😓😥😓😥😥😓😓🤧🤧😖😖🤧😖😖😥😖😥😭😥😭😥😭😥🤧😖🤧😖😖🤧😣😣😣😓💔💔💔💔💔🤧💔🤧🤧💔🤧💔🤧💔🤧💔🤧💔🤧💔🤧💔🤧💔🤧💔🤧🤧🤧💔💔🤧🤧😓🤧😓🤧💔🤧😓🤧😓🤧😭😭😓😭😓😥😓😥😥💔💔💔😢💔😢💔😢💔",UCIC6OWCnHoNFxOc4jDSOIng,UgwtVtOqTVg4egGy4c54AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwtVtOqTVg4egGy4c54AaABAg
62,,"Collen Makgopa","2023-01-04 12:41:40",0,no,no,"He died doing what he loved Rest well Legend",UCJa1uki7MoRPn3P2Oe89-Ig,UgzOb0cIZGaEJOI95c14AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzOb0cIZGaEJOI95c14AaABAg
63,,"Fyre Sturm","2023-01-04 12:45:59",0,no,no,"This new year has already taken a turn for the worse. RIP.",UCVLMb06ZNs__gnZcIGtgFtg,UgwdX37zLvpQNfN9fGZ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwdX37zLvpQNfN9fGZ4AaABAg
64,,"Mr pickles","2023-01-04 12:47:23",0,no,no,"Rest in peace man! You’re the GOAT and will never be forgotten.",UCNdiRKnQYVMDHmVk5GaSKzw,UgyXtIBtbUgkf0Edtj54AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyXtIBtbUgkf0Edtj54AaABAg
65,,"Mike Williams","2023-01-04 12:49:43",0,no,no,"Man this is sad as fuck. What a legend. RIP ken block!",UCPbG5eBBB2S5-0KIlf4zU4Q,Ugyre_EasBFGtBX7Gnl4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugyre_EasBFGtBX7Gnl4AaABAg
66,,"David Hill","2023-01-04 12:50:34",0,no,no,"Was he a democrat or a republican ?, I need to know so I can work out whether to be happy about his death or sad about it .",UCSgqyvP9KbCowqvxp62LqLg,Ugywkxeqrsn-PSj_Vmp4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugywkxeqrsn-PSj_Vmp4AaABAg
