,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
19,,"Erwin Schrey","2023-01-04 04:32:25",0,no,no,Criminals,UCYyuKVm6FEZIzG-zCo5NKPw,Ugz3JzOQwPZ3bnigaiB4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugz3JzOQwPZ3bnigaiB4AaABAg
20,,"Jane M Lee","2023-01-04 04:33:10",0,no,no,"I wonder how much $$$ McCarthy is willing to spend to buy votes? . I'm sure he's working the phones as I post.",UCQbG6At8pDsilstHYeC0Zrw,UgzAddqpJYbOkfoWDwd4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzAddqpJYbOkfoWDwd4AaABAg
21,,"Katherine Taylor","2023-01-04 04:33:10",1,no,no,"I sure hope MTG doesn't get the speaker of the house we will be boom",UCIM11r1wuy79qxAaW8gUYTw,Ugx0abhjRaRjSttsw9B4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugx0abhjRaRjSttsw9B4AaABAg
22,,Hankakah,"2023-01-04 04:33:41",1,no,no,"The Speaker of the House is next in line of power if something happens to the President and the V. President. Why are you guys not focusing that if McCarthy becomes Speaker of the House, you put a Trump puppet in control who will dictate what he should be doing. McCarthy echoed the Big Lie, the majority of the GOP in Congress supported Trump and his Big Lie and now you still consider that he should still be #3 in line of power?
You guys should be focusing and reporting on 1/6. When that attack on Congress was happening, what was #1, Trump doing? He was inciting, did nothing to stop it, and relished in what was happening on TV coverage. What was #2, Pence doing? He was hiding in his chamber avoiding being taken by the mob who would have hanged him if they got to him. What was #3 doing? Pelosi was calling the National Guard, Homeland Security to get help to protect Congress as well as continue to do their job at hand and that was to continue to Certify the Ballot count for the Electoral College.
I would like to see you guys start to question what was Mccarthy and Jordan doing during this attack? Every single member in office in our country takes an oath of office to serve, protect, defend our country and Constitution from all enemies both Foreign and Domestic. I want to see you guys question what McCarthy and Jordan were doing to protect our country during this time? I want to see the Democrats or Independents ask them in front of the whole chamber in the House, and question McCarthy what was he doing, and what would he have done during the attack if he was Speaker of the House. IT DEFINITELY WOULD NOT BE TO TAKE A TRIP DOWN TO MAR-A-LAGO to kowtow to his Master!",UC5OpD3PdKVldRPUL6FS9e7Q,UgzXDHOJf-cuxU-VAe54AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzXDHOJf-cuxU-VAe54AaABAg
23,,"Mohammed Iqbal","2023-01-04 04:34:05",1,no,no,"McCarthy, the kissing of the ring turned out useless for you. You know the orange vomit will throw anyone under the bus in a heartbeat. You should've known better.",UCo4PLz4ms3z-jL5UCh4WVdw,UgzBtRSQVxA1Ub_yYD14AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzBtRSQVxA1Ub_yYD14AaABAg
24,,"Harumi H.","2023-01-04 04:34:20",1,no,no,"Let's them self-suicide. Congress works not based on the number. Congress works when all the Represented and elected people work together to help the country survive. House is not the place for the power grab. Make no mistake. House is the place to make laws, not break laws. Dishonest liars should not be allowed.",UC2kifflLACUwl2TBPjjwdnQ,UgzfpVawDpc9X09l0Uh4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzfpVawDpc9X09l0Uh4AaABAg
25,,"Tessmage Tessera","2023-01-04 04:34:47",0,no,no,"See what happens when you give your loyalty to Trump? We've seen this again and again and again. Trump throws you away like used toilet paper.",UCu_quqKeod39B4sbjEv_rDA,UgxFWm1b-TFS8VQTZYN4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxFWm1b-TFS8VQTZYN4AaABAg
26,,"Fez Mai","2023-01-04 04:35:39",0,no,no,"GOP = HOUSE OF CARDS = HOUSE OF LIES",UCojK2AHD9vCFOx_UEWJV3Lg,UgzPxMOEFSOyNYJ0P4h4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzPxMOEFSOyNYJ0P4h4AaABAg
27,,"Jodi Perkins","2023-01-04 04:35:50",0,no,no,"Why ask trump about anything? Why? It just keeps giving him relevance.",UCWO2N41DSiArukDUv1hKF6A,Ugz4kxnRZSJdl8S2XdF4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugz4kxnRZSJdl8S2XdF4AaABAg
28,,Laurie,"2023-01-04 04:38:04",0,no,no,"I can’t see ANYTHING that would make a NORMAL person want to go through that? I’m embarrassed for you sir.",UCwfSLBsAzhgREMntKDzgunw,UgxAPfKHKtD1TFjLJGl4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxAPfKHKtD1TFjLJGl4AaABAg
