,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
15,,Amethyst,"2022-12-19 05:49:12",21,no,no,"Hujung tahun Kelantan dan Terengganu jadi mangsa banjir, masuk pertengahan musim tengkujuh nanti giliran Pantai Barat Semenanjung hingga ke Johor. Berhati2 dan bersedialah semuanya untuk hadapi musim tengkujuh kali ini. Pastikan majlis perbandaran kawasan anda dah gali parit2 yang tersumbat, bukan datang tengok2 lepas tu cabut.",UCoYwHMy4VD1TDP5JNNX2Bhg,UgwPJkXrnPCaUb8EXXF4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgwPJkXrnPCaUb8EXXF4AaABAg
16,,333,"2022-12-19 05:49:22",5,no,no,"Ask fir pas n pn to help cos they undi them",UC5yMWhDhEolSjaCIz-_W-ig,UgyjYg2lkX7KVRC_7H54AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyjYg2lkX7KVRC_7H54AaABAg
17,,"Khabali Saari","2022-12-19 05:50:33",0,no,no,"Amat bahaya",UCiDLk8xV4NsCGSI98vDEFJg,UgwZxRuIvZ6tazvO3Lx4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgwZxRuIvZ6tazvO3Lx4AaABAg
18,,"Selfmade God","2022-12-19 05:51:24",7,no,no,"Mananya Haldi Awang ? 
😭😭😭😭😭😭😭😭",UCjJ6Ga5vdHZyV2uDpjjYyiQ,Ugx9zPC7DNUj98Aa4-l4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugx9zPC7DNUj98Aa4-l4AaABAg
19,,"Wanshezri Afiy","2022-12-19 05:52:35",0,no,no,"Patutnye selam umah2 org hati busuk hok jahat. Tapi kalau tuhan nok bui. Bui belako . Subhanallah...",UCkHeTV2NrXeIe5I9pm6zx6A,UgzAuYnGBJ24iovHXC94AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzAuYnGBJ24iovHXC94AaABAg
20,,"mohamad Rofi","2022-12-19 05:53:21",1,no,no,"Ya Allah selamatkan semuanya ..
yaAllah..Amin..",UCgxWE-6XhjhgzbX9NoFqsbg,UgwOq2lw42qSd-D-18t4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgwOq2lw42qSd-D-18t4AaABAg
21,,"Saiful Hamid","2022-12-19 05:54:56",3,no,no,"Semoga dipermudahkan segala urusan mangsa banjir..",UCHyV8fqQqAmH-uQSuXE6Niw,UgyAnPM8nzHC0saJ_6Z4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyAnPM8nzHC0saJ_6Z4AaABAg
22,,"Erman Armani E.A","2022-12-19 06:02:12",3,no,no,"Allahu Akhbar.",UCjyKmlTZs1WQklLOboNIhSw,Ugx2rg_lVQMcgOqM-XB4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugx2rg_lVQMcgOqM-XB4AaABAg
23,,"Zain Hassan","2022-12-19 06:08:53",7,no,no,"Hidup di dunia penuh dgn ujian. Jom kita beristighfar n usaha utk bersabar walaupun pahit.
Semoga Allaah teguhkan Iman kita sehingga mendapat keredhoanNya.",UCNCJs5CJWQIIwGjT1FVSsOw,UgyPcAPhvAd4W-kuZ6h4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyPcAPhvAd4W-kuZ6h4AaABAg
24,,"Fauzi Tulos","2022-12-19 06:10:29",5,no,no,"Menteri Besar dan ahli DUN Kelantan, Trengganu keluar pergi selamatkan buaya buaya yg terlepas.......... cepaaaattt",UCVWmJiovNOOczjGc78mer9Q,UgycSUPEN-tJ8YeJPDZ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgycSUPEN-tJ8YeJPDZ4AaABAg
